tick,timestamp,interval_end,day,time_period,tariff_band,tariff,weather_pattern,inflow,p1_out_of_action,p2_out_of_action,feasible,starting_volume,ending_volume,p1_status,p1_rate,p2_status,p2_rate,pumped_volume,energy_cost,warnings
1,2026-06-01T00:00:00+00:00,2026-06-01T00:30:00+00:00,1,T1,T1-T8,228.42,dry,0.30,false,true,true,135.00,135.30,Online,0.00,Offline,0.00,0.00,0.00,
2,2026-06-01T00:30:00+00:00,2026-06-01T01:00:00+00:00,1,T2,T1-T8,228.42,dry,0.19,false,true,true,135.30,135.49,Online,0.00,Offline,0.00,0.00,0.00,
3,2026-06-01T01:00:00+00:00,2026-06-01T01:30:00+00:00,1,T3,T1-T8,228.42,dry,0.48,false,true,true,135.49,135.97,Online,0.00,Offline,0.00,0.00,0.00,
4,2026-06-01T01:30:00+00:00,2026-06-01T02:00:00+00:00,1,T4,T1-T8,228.42,dry,0.37,false,true,true,135.97,136.34,Online,0.00,Offline,0.00,0.00,0.00,
5,2026-06-01T02:00:00+00:00,2026-06-01T02:30:00+00:00,1,T5,T1-T8,228.42,dry,0.29,false,true,true,136.34,136.63,Online,0.00,Offline,0.00,0.00,0.00,
6,2026-06-01T02:30:00+00:00,2026-06-01T03:00:00+00:00,1,T6,T1-T8,228.42,dry,0.25,false,true,true,136.63,136.88,Online,0.00,Offline,0.00,0.00,0.00,
7,2026-06-01T03:00:00+00:00,2026-06-01T03:30:00+00:00,1,T7,T1-T8,228.42,dry,0.50,false,true,true,136.88,137.38,Online,0.00,Offline,0.00,0.00,0.00,
8,2026-06-01T03:30:00+00:00,2026-06-01T04:00:00+00:00,1,T8,T1-T8,228.42,dry,0.34,false,true,true,137.38,137.72,Online,0.00,Offline,0.00,0.00,0.00,
9,2026-06-01T04:00:00+00:00,2026-06-01T04:30:00+00:00,1,T9,T9-T16,257.37,dry,0.21,false,true,true,137.72,137.93,Online,0.00,Offline,0.00,0.00,0.00,
10,2026-06-01T04:30:00+00:00,2026-06-01T05:00:00+00:00,1,T10,T9-T16,257.37,dry,0.17,false,true,true,137.93,138.10,Online,0.00,Offline,0.00,0.00,0.00,
11,2026-06-01T05:00:00+00:00,2026-06-01T05:30:00+00:00,1,T11,T9-T16,257.37,dry,0.25,false,true,true,138.10,138.35,Online,0.00,Offline,0.00,0.00,0.00,
12,2026-06-01T05:30:00+00:00,2026-06-01T06:00:00+00:00,1,T12,T9-T16,257.37,dry,1.82,false,true,true,138.35,140.17,Online,0.00,Offline,0.00,0.00,0.00,
13,2026-06-01T06:00:00+00:00,2026-06-01T06:30:00+00:00,1,T13,T9-T16,257.37,dry,1.83,false,false,true,140.17,142.00,Online,0.00,Offline,0.00,0.00,0.00,
14,2026-06-01T06:30:00+00:00,2026-06-01T07:00:00+00:00,1,T14,T9-T16,257.37,dry,1.60,false,false,true,142.00,143.60,Online,0.00,Offline,0.00,0.00,0.00,
15,2026-06-01T07:00:00+00:00,2026-06-01T07:30:00+00:00,1,T15,T9-T16,257.37,dry,1.75,false,false,true,143.60,145.35,Online,0.00,Offline,0.00,0.00,0.00,
16,2026-06-01T07:30:00+00:00,2026-06-01T08:00:00+00:00,1,T16,T9-T16,257.37,dry,1.74,false,false,true,145.35,147.09,Online,0.00,Offline,0.00,0.00,0.00,
17,2026-06-01T08:00:00+00:00,2026-06-01T08:30:00+00:00,1,T17,T17-T24,282.66,dry,1.79,false,false,true,147.09,148.88,Online,0.00,Offline,0.00,0.00,0.00,
18,2026-06-01T08:30:00+00:00,2026-06-01T09:00:00+00:00,1,T18,T17-T24,282.66,dry,1.62,false,false,true,148.88,150.50,Online,0.00,Offline,0.00,0.00,0.00,
19,2026-06-01T09:00:00+00:00,2026-06-01T09:30:00+00:00,1,T19,T17-T24,282.66,dry,1.81,false,false,true,150.50,152.31,Online,0.00,Offline,0.00,0.00,0.00,
20,2026-06-01T09:30:00+00:00,2026-06-01T10:00:00+00:00,1,T20,T17-T24,282.66,dry,1.77,false,false,true,152.31,154.08,Online,0.00,Offline,0.00,0.00,0.00,
21,2026-06-01T10:00:00+00:00,2026-06-01T10:30:00+00:00,1,T21,T17-T24,282.66,dry,1.84,false,false,true,154.08,155.92,Online,0.00,Offline,0.00,0.00,0.00,
22,2026-06-01T10:30:00+00:00,2026-06-01T11:00:00+00:00,1,T22,T17-T24,282.66,dry,0.98,false,false,true,155.92,156.90,Online,0.00,Offline,0.00,0.00,0.00,
23,2026-06-01T11:00:00+00:00,2026-06-01T11:30:00+00:00,1,T23,T17-T24,282.66,dry,0.85,false,false,true,156.90,157.75,Online,0.00,Offline,0.00,0.00,0.00,
24,2026-06-01T11:30:00+00:00,2026-06-01T12:00:00+00:00,1,T24,T17-T24,282.66,dry,0.65,false,false,true,157.75,158.40,Online,0.00,Offline,0.00,0.00,0.00,
25,2026-06-01T12:00:00+00:00,2026-06-01T12:30:00+00:00,1,T25,T25-T32,283.90,dry,0.87,false,false,true,158.40,159.27,Online,0.00,Offline,0.00,0.00,0.00,
26,2026-06-01T12:30:00+00:00,2026-06-01T13:00:00+00:00,1,T26,T25-T32,283.90,dry,0.69,false,false,true,159.27,159.96,Online,0.00,Offline,0.00,0.00,0.00,
27,2026-06-01T13:00:00+00:00,2026-06-01T13:30:00+00:00,1,T27,T25-T32,283.90,dry,0.80,false,false,true,159.96,160.76,Online,0.00,Offline,0.00,0.00,0.00,
28,2026-06-01T13:30:00+00:00,2026-06-01T14:00:00+00:00,1,T28,T25-T32,283.90,dry,0.93,false,false,true,160.76,161.69,Online,0.00,Offline,0.00,0.00,0.00,
29,2026-06-01T14:00:00+00:00,2026-06-01T14:30:00+00:00,1,T29,T25-T32,283.90,dry,0.70,false,false,true,161.69,162.39,Online,0.00,Offline,0.00,0.00,0.00,
30,2026-06-01T14:30:00+00:00,2026-06-01T15:00:00+00:00,1,T30,T25-T32,283.90,dry,0.70,false,false,true,162.39,163.09,Online,0.00,Offline,0.00,0.00,0.00,
31,2026-06-01T15:00:00+00:00,2026-06-01T15:30:00+00:00,1,T31,T25-T32,283.90,dry,0.67,false,false,true,163.09,163.76,Online,0.00,Offline,0.00,0.00,0.00,
32,2026-06-01T15:30:00+00:00,2026-06-01T16:00:00+00:00,1,T32,T25-T32,283.90,dry,0.79,false,false,true,163.76,164.55,Online,0.00,Offline,0.00,0.00,0.00,
33,2026-06-01T16:00:00+00:00,2026-06-01T16:30:00+00:00,1,T33,T33-T40,302.47,dry,1.70,false,false,true,164.55,166.25,Online,0.00,Offline,0.00,0.00,0.00,
34,2026-06-01T16:30:00+00:00,2026-06-01T17:00:00+00:00,1,T34,T33-T40,302.47,dry,1.82,false,false,true,166.25,168.07,Online,0.00,Offline,0.00,0.00,0.00,
35,2026-06-01T17:00:00+00:00,2026-06-01T17:30:00+00:00,1,T35,T33-T40,302.47,dry,2.01,false,false,true,168.07,170.08,Online,0.00,Offline,0.00,0.00,0.00,
36,2026-06-01T17:30:00+00:00,2026-06-01T18:00:00+00:00,1,T36,T33-T40,302.47,dry,1.72,false,false,true,170.08,171.80,Online,0.00,Offline,0.00,0.00,0.00,
37,2026-06-01T18:00:00+00:00,2026-06-01T18:30:00+00:00,1,T37,T33-T40,302.47,dry,1.68,false,false,true,171.80,173.48,Online,0.00,Offline,0.00,0.00,0.00,
38,2026-06-01T18:30:00+00:00,2026-06-01T19:00:00+00:00,1,T38,T33-T40,302.47,dry,1.82,false,false,true,173.48,175.30,Online,0.00,Offline,0.00,0.00,0.00,
39,2026-06-01T19:00:00+00:00,2026-06-01T19:30:00+00:00,1,T39,T33-T40,302.47,dry,1.88,false,false,true,175.30,177.18,Online,0.00,Offline,0.00,0.00,0.00,
40,2026-06-01T19:30:00+00:00,2026-06-01T20:00:00+00:00,1,T40,T33-T40,302.47,dry,1.74,false,false,true,177.18,178.92,Online,0.00,Offline,0.00,0.00,0.00,
41,2026-06-01T20:00:00+00:00,2026-06-01T20:30:00+00:00,1,T41,T41-T48,277.06,dry,2.02,false,false,true,178.92,180.94,Online,0.00,Offline,0.00,0.00,0.00,
42,2026-06-01T20:30:00+00:00,2026-06-01T21:00:00+00:00,1,T42,T41-T48,277.06,dry,1.84,false,false,true,180.94,182.78,Online,0.00,Offline,0.00,0.00,0.00,
43,2026-06-01T21:00:00+00:00,2026-06-01T21:30:00+00:00,1,T43,T41-T48,277.06,dry,1.86,false,false,true,182.78,184.64,Online,0.00,Offline,0.00,0.00,0.00,
44,2026-06-01T21:30:00+00:00,2026-06-01T22:00:00+00:00,1,T44,T41-T48,277.06,dry,0.52,false,false,true,184.64,185.16,Online,0.00,Offline,0.00,0.00,0.00,
45,2026-06-01T22:00:00+00:00,2026-06-01T22:30:00+00:00,1,T45,T41-T48,277.06,dry,0.28,false,false,true,185.16,185.44,Online,0.00,Offline,0.00,0.00,0.00,
46,2026-06-01T22:30:00+00:00,2026-06-01T23:00:00+00:00,1,T46,T41-T48,277.06,dry,0.58,false,false,true,185.44,186.02,Online,0.00,Offline,0.00,0.00,0.00,
47,2026-06-01T23:00:00+00:00,2026-06-01T23:30:00+00:00,1,T47,T41-T48,277.06,dry,0.26,false,false,true,186.02,186.28,Online,0.00,Offline,0.00,0.00,0.00,
48,2026-06-01T23:30:00+00:00,2026-06-02T00:00:00+00:00,1,T48,T41-T48,277.06,dry,0.27,false,false,true,186.28,186.55,Online,0.00,Offline,0.00,0.00,0.00,
49,2026-06-02T00:00:00+00:00,2026-06-02T00:30:00+00:00,2,T1,T1-T8,228.42,dry,0.35,false,false,true,186.55,186.90,Online,0.00,Online,0.00,0.00,0.00,
50,2026-06-02T00:30:00+00:00,2026-06-02T01:00:00+00:00,2,T2,T1-T8,228.42,dry,0.45,true,false,true,186.90,187.35,Offline,0.00,Online,0.00,0.00,0.00,
51,2026-06-02T01:00:00+00:00,2026-06-02T01:30:00+00:00,2,T3,T1-T8,228.42,dry,0.20,true,false,true,187.35,187.55,Offline,0.00,Online,0.00,0.00,0.00,
52,2026-06-02T01:30:00+00:00,2026-06-02T02:00:00+00:00,2,T4,T1-T8,228.42,dry,0.17,true,false,true,187.55,187.72,Offline,0.00,Online,0.00,0.00,0.00,
53,2026-06-02T02:00:00+00:00,2026-06-02T02:30:00+00:00,2,T5,T1-T8,228.42,dry,0.44,true,false,true,187.72,188.16,Offline,0.00,Online,0.00,0.00,0.00,
54,2026-06-02T02:30:00+00:00,2026-06-02T03:00:00+00:00,2,T6,T1-T8,228.42,dry,0.28,true,false,true,188.16,188.44,Offline,0.00,Online,0.00,0.00,0.00,
55,2026-06-02T03:00:00+00:00,2026-06-02T03:30:00+00:00,2,T7,T1-T8,228.42,dry,0.33,true,false,true,188.44,188.77,Offline,0.00,Online,0.00,0.00,0.00,
56,2026-06-02T03:30:00+00:00,2026-06-02T04:00:00+00:00,2,T8,T1-T8,228.42,dry,0.19,true,false,true,188.77,188.96,Offline,0.00,Online,0.00,0.00,0.00,
57,2026-06-02T04:00:00+00:00,2026-06-02T04:30:00+00:00,2,T9,T9-T16,257.37,dry,0.27,true,false,true,188.96,189.23,Offline,0.00,Online,0.00,0.00,0.00,
58,2026-06-02T04:30:00+00:00,2026-06-02T05:00:00+00:00,2,T10,T9-T16,257.37,dry,0.42,true,false,true,189.23,189.65,Offline,0.00,Online,0.00,0.00,0.00,
59,2026-06-02T05:00:00+00:00,2026-06-02T05:30:00+00:00,2,T11,T9-T16,257.37,dry,0.23,false,false,true,189.65,189.88,Offline,0.00,Online,0.00,0.00,0.00,
60,2026-06-02T05:30:00+00:00,2026-06-02T06:00:00+00:00,2,T12,T9-T16,257.37,dry,1.59,false,false,true,189.88,191.47,Offline,0.00,Online,0.00,0.00,0.00,
61,2026-06-02T06:00:00+00:00,2026-06-02T06:30:00+00:00,2,T13,T9-T16,257.37,dry,1.68,false,false,true,191.47,193.15,Offline,0.00,Online,0.00,0.00,0.00,
62,2026-06-02T06:30:00+00:00,2026-06-02T07:00:00+00:00,2,T14,T9-T16,257.37,dry,1.66,false,false,true,193.15,194.81,Offline,0.00,Online,0.00,0.00,0.00,
63,2026-06-02T07:00:00+00:00,2026-06-02T07:30:00+00:00,2,T15,T9-T16,257.37,dry,1.84,false,false,true,194.81,196.65,Offline,0.00,Online,0.00,0.00,0.00,
64,2026-06-02T07:30:00+00:00,2026-06-02T08:00:00+00:00,2,T16,T9-T16,257.37,dry,1.78,false,false,true,196.65,198.43,Offline,0.00,Online,0.00,0.00,0.00,
65,2026-06-02T08:00:00+00:00,2026-06-02T08:30:00+00:00,2,T17,T17-T24,282.66,dry,1.53,false,false,true,198.43,199.96,Offline,0.00,Online,0.00,0.00,0.00,
66,2026-06-02T08:30:00+00:00,2026-06-02T09:00:00+00:00,2,T18,T17-T24,282.66,dry,1.83,false,false,true,199.96,201.79,Offline,0.00,Online,0.00,0.00,0.00,
67,2026-06-02T09:00:00+00:00,2026-06-02T09:30:00+00:00,2,T19,T17-T24,282.66,dry,1.79,false,false,true,201.79,203.58,Offline,0.00,Online,0.00,0.00,0.00,
68,2026-06-02T09:30:00+00:00,2026-06-02T10:00:00+00:00,2,T20,T17-T24,282.66,dry,1.76,false,false,true,203.58,205.34,Offline,0.00,Online,0.00,0.00,0.00,
69,2026-06-02T10:00:00+00:00,2026-06-02T10:30:00+00:00,2,T21,T17-T24,282.66,dry,1.59,false,false,true,205.34,206.93,Offline,0.00,Online,0.00,0.00,0.00,
70,2026-06-02T10:30:00+00:00,2026-06-02T11:00:00+00:00,2,T22,T17-T24,282.66,dry,0.72,false,false,true,206.93,207.65,Offline,0.00,Online,0.00,0.00,0.00,
71,2026-06-02T11:00:00+00:00,2026-06-02T11:30:00+00:00,2,T23,T17-T24,282.66,dry,0.66,false,false,true,207.65,208.31,Offline,0.00,Online,0.00,0.00,0.00,
72,2026-06-02T11:30:00+00:00,2026-06-02T12:00:00+00:00,2,T24,T17-T24,282.66,dry,0.72,false,false,true,208.31,209.03,Offline,0.00,Online,0.00,0.00,0.00,
73,2026-06-02T12:00:00+00:00,2026-06-02T12:30:00+00:00,2,T25,T25-T32,283.90,dry,0.86,false,false,true,209.03,209.89,Offline,0.00,Online,0.00,0.00,0.00,
74,2026-06-02T12:30:00+00:00,2026-06-02T13:00:00+00:00,2,T26,T25-T32,283.90,dry,0.65,false,false,true,209.89,210.54,Offline,0.00,Online,0.00,0.00,0.00,
75,2026-06-02T13:00:00+00:00,2026-06-02T13:30:00+00:00,2,T27,T25-T32,283.90,dry,0.80,false,false,true,210.54,211.34,Offline,0.00,Online,0.00,0.00,0.00,
76,2026-06-02T13:30:00+00:00,2026-06-02T14:00:00+00:00,2,T28,T25-T32,283.90,dry,0.73,false,false,true,211.34,212.07,Offline,0.00,Online,0.00,0.00,0.00,
77,2026-06-02T14:00:00+00:00,2026-06-02T14:30:00+00:00,2,T29,T25-T32,283.90,dry,0.79,false,false,true,212.07,212.86,Offline,0.00,Online,0.00,0.00,0.00,
78,2026-06-02T14:30:00+00:00,2026-06-02T15:00:00+00:00,2,T30,T25-T32,283.90,dry,0.93,false,false,true,212.86,213.79,Offline,0.00,Online,0.00,0.00,0.00,
79,2026-06-02T15:00:00+00:00,2026-06-02T15:30:00+00:00,2,T31,T25-T32,283.90,dry,0.65,false,false,true,213.79,214.44,Offline,0.00,Online,0.00,0.00,0.00,
80,2026-06-02T15:30:00+00:00,2026-06-02T16:00:00+00:00,2,T32,T25-T32,283.90,dry,0.97,false,false,true,214.44,215.41,Offline,0.00,Online,0.00,0.00,0.00,
81,2026-06-02T16:00:00+00:00,2026-06-02T16:30:00+00:00,2,T33,T33-T40,302.47,dry,1.94,false,false,true,215.41,217.35,Offline,0.00,Online,0.00,0.00,0.00,
82,2026-06-02T16:30:00+00:00,2026-06-02T17:00:00+00:00,2,T34,T33-T40,302.47,dry,1.88,false,false,true,217.35,219.23,Offline,0.00,Online,0.00,0.00,0.00,
83,2026-06-02T17:00:00+00:00,2026-06-02T17:30:00+00:00,2,T35,T33-T40,302.47,dry,2.03,false,false,true,219.23,221.26,Offline,0.00,Online,0.00,0.00,0.00,
84,2026-06-02T17:30:00+00:00,2026-06-02T18:00:00+00:00,2,T36,T33-T40,302.47,dry,1.74,true,false,true,221.26,223.00,Offline,0.00,Online,0.00,0.00,0.00,
85,2026-06-02T18:00:00+00:00,2026-06-02T18:30:00+00:00,2,T37,T33-T40,302.47,dry,1.90,true,false,true,223.00,224.90,Offline,0.00,Online,0.00,0.00,0.00,
86,2026-06-02T18:30:00+00:00,2026-06-02T19:00:00+00:00,2,T38,T33-T40,302.47,dry,1.69,true,false,true,224.90,226.59,Offline,0.00,Online,0.00,0.00,0.00,
87,2026-06-02T19:00:00+00:00,2026-06-02T19:30:00+00:00,2,T39,T33-T40,302.47,dry,2.03,true,false,true,226.59,228.62,Offline,0.00,Online,0.00,0.00,0.00,
88,2026-06-02T19:30:00+00:00,2026-06-02T20:00:00+00:00,2,T40,T33-T40,302.47,dry,2.04,true,false,true,228.62,230.66,Offline,0.00,Online,0.00,0.00,0.00,
89,2026-06-02T20:00:00+00:00,2026-06-02T20:30:00+00:00,2,T41,T41-T48,277.06,dry,1.96,true,false,true,230.66,232.62,Offline,0.00,Online,0.00,0.00,0.00,
90,2026-06-02T20:30:00+00:00,2026-06-02T21:00:00+00:00,2,T42,T41-T48,277.06,dry,1.77,true,false,true,232.62,234.39,Offline,0.00,Online,0.00,0.00,0.00,
91,2026-06-02T21:00:00+00:00,2026-06-02T21:30:00+00:00,2,T43,T41-T48,277.06,dry,1.95,true,false,true,234.39,232.34,Offline,0.00,Online,4.00,4.00,1108.24,
92,2026-06-02T21:30:00+00:00,2026-06-02T22:00:00+00:00,2,T44,T41-T48,277.06,dry,0.51,true,false,true,232.34,232.85,Offline,0.00,Online,0.00,0.00,0.00,
93,2026-06-02T22:00:00+00:00,2026-06-02T22:30:00+00:00,2,T45,T41-T48,277.06,dry,0.48,false,false,true,232.85,233.33,Offline,0.00,Online,0.00,0.00,0.00,
94,2026-06-02T22:30:00+00:00,2026-06-02T23:00:00+00:00,2,T46,T41-T48,277.06,dry,0.42,false,false,true,233.33,233.75,Offline,0.00,Online,0.00,0.00,0.00,
95,2026-06-02T23:00:00+00:00,2026-06-02T23:30:00+00:00,2,T47,T41-T48,277.06,dry,0.41,false,false,true,233.75,234.16,Offline,0.00,Online,0.00,0.00,0.00,
96,2026-06-02T23:30:00+00:00,2026-06-03T00:00:00+00:00,2,T48,T41-T48,277.06,dry,0.52,false,false,true,234.16,234.68,Offline,0.00,Online,0.00,0.00,0.00,
97,2026-06-03T00:00:00+00:00,2026-06-03T00:30:00+00:00,3,T1,T1-T8,228.42,wet,2.47,false,false,true,234.68,233.15,Offline,0.00,Online,4.00,4.00,913.68,
98,2026-06-03T00:30:00+00:00,2026-06-03T01:00:00+00:00,3,T2,T1-T8,228.42,wet,2.16,false,false,true,233.15,231.31,Offline,0.00,Online,4.00,4.00,913.68,
99,2026-06-03T01:00:00+00:00,2026-06-03T01:30:00+00:00,3,T3,T1-T8,228.42,wet,2.59,false,false,true,231.31,233.90,Offline,0.00,Online,0.00,0.00,0.00,
100,2026-06-03T01:30:00+00:00,2026-06-03T02:00:00+00:00,3,T4,T1-T8,228.42,wet,2.37,false,false,true,233.90,232.27,Online,0.00,Online,4.00,4.00,913.68,
101,2026-06-03T02:00:00+00:00,2026-06-03T02:30:00+00:00,3,T5,T1-T8,228.42,wet,2.10,false,false,true,232.27,230.37,Online,0.00,Online,4.00,4.00,913.68,
102,2026-06-03T02:30:00+00:00,2026-06-03T03:00:00+00:00,3,T6,T1-T8,228.42,wet,2.44,false,true,true,230.37,228.81,Online,4.00,Offline,0.00,4.00,913.68,
103,2026-06-03T03:00:00+00:00,2026-06-03T03:30:00+00:00,3,T7,T1-T8,228.42,wet,2.13,false,true,true,228.81,230.94,Online,0.00,Offline,0.00,0.00,0.00,
104,2026-06-03T03:30:00+00:00,2026-06-03T04:00:00+00:00,3,T8,T1-T8,228.42,wet,2.38,false,true,true,230.94,217.32,Online,16.00,Offline,0.00,16.00,3654.72,
105,2026-06-03T04:00:00+00:00,2026-06-03T04:30:00+00:00,3,T9,T9-T16,257.37,wet,2.08,false,true,true,217.32,219.40,Online,0.00,Offline,0.00,0.00,0.00,
106,2026-06-03T04:30:00+00:00,2026-06-03T05:00:00+00:00,3,T10,T9-T16,257.37,wet,2.51,false,true,true,219.40,221.91,Online,0.00,Offline,0.00,0.00,0.00,
107,2026-06-03T05:00:00+00:00,2026-06-03T05:30:00+00:00,3,T11,T9-T16,257.37,wet,2.00,false,true,true,221.91,219.91,Online,4.00,Offline,0.00,4.00,1029.48,
108,2026-06-03T05:30:00+00:00,2026-06-03T06:00:00+00:00,3,T12,T9-T16,257.37,wet,5.41,false,true,true,219.91,221.32,Online,4.00,Offline,0.00,4.00,1029.48,
109,2026-06-03T06:00:00+00:00,2026-06-03T06:30:00+00:00,3,T13,T9-T16,257.37,wet,5.06,false,true,true,221.32,222.38,Online,4.00,Offline,0.00,4.00,1029.48,
110,2026-06-03T06:30:00+00:00,2026-06-03T07:00:00+00:00,3,T14,T9-T16,257.37,wet,5.42,false,true,true,222.38,223.80,Online,4.00,Offline,0.00,4.00,1029.48,
111,2026-06-03T07:00:00+00:00,2026-06-03T07:30:00+00:00,3,T15,T9-T16,257.37,wet,5.56,false,true,true,223.80,225.36,Online,4.00,Offline,0.00,4.00,1029.48,
112,2026-06-03T07:30:00+00:00,2026-06-03T08:00:00+00:00,3,T16,T9-T16,257.37,wet,5.05,false,false,true,225.36,226.41,Online,4.00,Offline,0.00,4.00,1029.48,
113,2026-06-03T08:00:00+00:00,2026-06-03T08:30:00+00:00,3,T17,T17-T24,282.66,wet,5.49,false,false,true,226.41,231.90,Online,0.00,Offline,0.00,0.00,0.00,
114,2026-06-03T08:30:00+00:00,2026-06-03T09:00:00+00:00,3,T18,T17-T24,282.66,wet,5.56,false,false,true,231.90,233.46,Online,4.00,Offline,0.00,4.00,1130.64,
115,2026-06-03T09:00:00+00:00,2026-06-03T09:30:00+00:00,3,T19,T17-T24,282.66,wet,5.46,false,false,true,233.46,234.92,Online,4.00,Offline,0.00,4.00,1130.64,
116,2026-06-03T09:30:00+00:00,2026-06-03T10:00:00+00:00,3,T20,T17-T24,282.66,wet,5.54,false,false,true,234.92,232.46,Online,8.00,Offline,0.00,8.00,2261.28,
117,2026-06-03T10:00:00+00:00,2026-06-03T10:30:00+00:00,3,T21,T17-T24,282.66,wet,5.40,false,false,true,232.46,233.86,Online,4.00,Offline,0.00,4.00,1130.64,
118,2026-06-03T10:30:00+00:00,2026-06-03T11:00:00+00:00,3,T22,T17-T24,282.66,wet,3.15,false,true,true,233.86,233.01,Online,4.00,Offline,0.00,4.00,1130.64,
119,2026-06-03T11:00:00+00:00,2026-06-03T11:30:00+00:00,3,T23,T17-T24,282.66,wet,3.42,false,true,true,233.01,232.43,Online,4.00,Offline,0.00,4.00,1130.64,
120,2026-06-03T11:30:00+00:00,2026-06-03T12:00:00+00:00,3,T24,T17-T24,282.66,wet,3.14,false,true,true,232.43,231.57,Online,4.00,Offline,0.00,4.00,1130.64,
121,2026-06-03T12:00:00+00:00,2026-06-03T12:30:00+00:00,3,T25,T25-T32,283.90,wet,3.32,false,true,true,231.57,234.89,Online,0.00,Offline,0.00,0.00,0.00,
122,2026-06-03T12:30:00+00:00,2026-06-03T13:00:00+00:00,3,T26,T25-T32,283.90,wet,3.39,false,true,true,234.89,234.28,Online,4.00,Offline,0.00,4.00,1135.60,
123,2026-06-03T13:00:00+00:00,2026-06-03T13:30:00+00:00,3,T27,T25-T32,283.90,wet,3.65,false,true,true,234.28,233.93,Online,4.00,Offline,0.00,4.00,1135.60,
124,2026-06-03T13:30:00+00:00,2026-06-03T14:00:00+00:00,3,T28,T25-T32,283.90,wet,3.45,false,true,true,233.93,233.38,Online,4.00,Offline,0.00,4.00,1135.60,
125,2026-06-03T14:00:00+00:00,2026-06-03T14:30:00+00:00,3,T29,T25-T32,283.90,wet,3.46,false,true,true,233.38,232.84,Online,4.00,Offline,0.00,4.00,1135.60,
126,2026-06-03T14:30:00+00:00,2026-06-03T15:00:00+00:00,3,T30,T25-T32,283.90,wet,3.50,false,true,true,232.84,228.34,Online,8.00,Offline,0.00,8.00,2271.20,
127,2026-06-03T15:00:00+00:00,2026-06-03T15:30:00+00:00,3,T31,T25-T32,283.90,wet,3.51,false,false,true,228.34,227.85,Online,4.00,Offline,0.00,4.00,1135.60,
128,2026-06-03T15:30:00+00:00,2026-06-03T16:00:00+00:00,3,T32,T25-T32,283.90,wet,3.43,false,false,true,227.85,215.28,Online,16.00,Offline,0.00,16.00,4542.40,
129,2026-06-03T16:00:00+00:00,2026-06-03T16:30:00+00:00,3,T33,T33-T40,302.47,wet,5.93,false,false,true,215.28,221.21,Online,0.00,Offline,0.00,0.00,0.00,
130,2026-06-03T16:30:00+00:00,2026-06-03T17:00:00+00:00,3,T34,T33-T40,302.47,wet,5.62,false,false,true,221.21,226.83,Online,0.00,Offline,0.00,0.00,0.00,
131,2026-06-03T17:00:00+00:00,2026-06-03T17:30:00+00:00,3,T35,T33-T40,302.47,wet,5.64,false,false,true,226.83,232.47,Online,0.00,Offline,0.00,0.00,0.00,
132,2026-06-03T17:30:00+00:00,2026-06-03T18:00:00+00:00,3,T36,T33-T40,302.47,wet,5.96,false,false,true,232.47,230.43,Online,8.00,Offline,0.00,8.00,2419.76,
133,2026-06-03T18:00:00+00:00,2026-06-03T18:30:00+00:00,3,T37,T33-T40,302.47,wet,6.01,false,false,true,230.43,232.44,Online,4.00,Offline,0.00,4.00,1209.88,
134,2026-06-03T18:30:00+00:00,2026-06-03T19:00:00+00:00,3,T38,T33-T40,302.47,wet,5.75,false,false,true,232.44,234.19,Online,4.00,Offline,0.00,4.00,1209.88,
135,2026-06-03T19:00:00+00:00,2026-06-03T19:30:00+00:00,3,T39,T33-T40,302.47,wet,5.78,false,false,true,234.19,231.97,Online,8.00,Offline,0.00,8.00,2419.76,
136,2026-06-03T19:30:00+00:00,2026-06-03T20:00:00+00:00,3,T40,T33-T40,302.47,wet,5.93,false,false,true,231.97,233.90,Online,4.00,Offline,0.00,4.00,1209.88,
137,2026-06-03T20:00:00+00:00,2026-06-03T20:30:00+00:00,3,T41,T41-T48,277.06,wet,5.78,false,false,true,233.90,231.68,Online,0.00,Online,8.00,8.00,2216.48,
138,2026-06-03T20:30:00+00:00,2026-06-03T21:00:00+00:00,3,T42,T41-T48,277.06,wet,5.88,true,false,true,231.68,229.56,Offline,0.00,Online,8.00,8.00,2216.48,
139,2026-06-03T21:00:00+00:00,2026-06-03T21:30:00+00:00,3,T43,T41-T48,277.06,wet,5.70,true,false,true,229.56,227.26,Offline,0.00,Online,8.00,8.00,2216.48,
140,2026-06-03T21:30:00+00:00,2026-06-03T22:00:00+00:00,3,T44,T41-T48,277.06,wet,2.72,true,false,true,227.26,229.98,Offline,0.00,Online,0.00,0.00,0.00,
141,2026-06-03T22:00:00+00:00,2026-06-03T22:30:00+00:00,3,T45,T41-T48,277.06,wet,2.77,true,false,true,229.98,232.75,Offline,0.00,Online,0.00,0.00,0.00,
142,2026-06-03T22:30:00+00:00,2026-06-03T23:00:00+00:00,3,T46,T41-T48,277.06,wet,2.33,true,false,true,232.75,227.08,Offline,0.00,Online,8.00,8.00,2216.48,
143,2026-06-03T23:00:00+00:00,2026-06-03T23:30:00+00:00,3,T47,T41-T48,277.06,wet,2.40,true,false,true,227.08,229.48,Offline,0.00,Online,0.00,0.00,0.00,
144,2026-06-03T23:30:00+00:00,2026-06-04T00:00:00+00:00,3,T48,T41-T48,277.06,wet,2.21,true,false,true,229.48,231.69,Offline,0.00,Online,0.00,0.00,0.00,
